pos	word_en	word_sp	positive	negative	objective	index	synset
a	alive	None	+0.5	-0	0.5	6	00041488
r	unfortunately	desafortunadamente	+0	-0.875	0.125	0	00042769
r	unluckily	desgraciadamente	+0	-0.875	0.125	0	00042769
r	face-to-face	None	+0	-0.125	0.875	0	00044754
r	face-to-face	None	+0	-0.125	0.875	1	00044861
r	opposite	None	+0	-0.125	0.875	0	00044861
v	prim_out	None	+0.25	-0	0.75	0	00045145
r	out_and_away	de_lejos	+0.125	-0	0.875	0	00047056
n	intrusion	None	+0	-0.5	0.5	1	00049530
n	permeation	None	+0.375	-0	0.625	1	00051712
r	square	None	+0	-0.125	0.875	0	00052026
a	understaffed	None	+0	-0.75	0.25	0	00052431
r	pyramidically	None	+0.125	-0	0.875	0	00054084
r	awful	None	+0.25	-0	0.75	0	00054950
r	awfully	None	+0.25	-0	0.75	0	00054950
n	immigration	None	+0	-0.25	0.75	0	00056311
r	the_least_bit	None	+0.375	-0	0.625	0	00056729
a	bespectacled	None	+0	-0.25	0.75	0	00056943
a	monocled	None	+0	-0.25	0.75	0	00056943
a	spectacled	None	+0	-0.25	0.75	0	00056943
r	directly	None	+0.5	-0	0.5	3	00058128
r	flat	None	+0.5	-0	0.5	1	00058128
r	straight	None	+0.5	-0	0.5	1	00058128
r	de_facto	None	+0.375	-0	0.625	0	00060197
r	to_all_intents_and_purposes	a_efectos_practicos	+0.125	-0	0.875	0	00060300
v	sterilize	esterilizar	+0	-0.25	0.75	1	00061595
r	on_purpose	None	+0.375	-0	0.625	0	00062330
r	not_to_mention	None	+0	-0.125	0.875	0	00063369
n	megahit	None	+0.125	-0	0.875	0	00064151
n	smash_hit	None	+0.125	-0	0.875	0	00064151
n	flying_colours	éxito_absoluto	+0.5	-0	0.5	0	00065418
r	inattentively	None	+0.5	-0	0.5	0	00066190
r	affectingly	None	+0.375	-0	0.625	0	00066605
r	poignantly	None	+0.375	-0	0.625	0	00066605
r	touchingly	None	+0.375	-0	0.625	0	00066605
r	right_along	None	+0.25	-0	0.75	0	00068215
r	softly	None	+0	-0.375	0.625	0	00070166
r	pictorially	None	+0.375	-0	0.625	0	00023958
a	unacquisitive	None	+0	-0.5	0.5	0	00031533
v	do	atusar	+0.125	-0	0.875	11	00038849
a	tapestried	None	+0	-0.125	0.875	0	00059965
n	surfacing	None	+0.125	-0	0.875	0	00061171
r	affectedly	None	+0	-0.375	0.625	0	00066527
a	wonder-struck	None	+0	-0.5	0.5	0	00071897
a	struck	None	+0	-0.375	0.625	0	00071242
a	subject	None	+0	-0.625	0.375	1	00071559
a	hokey	None	+0	-0.25	0.75	1	00073465
v	tire	None	+0.25	-0	0.75	1	00075021
v	wear	None	+0.25	-0	0.75	7	00075021
v	wear_out	None	+0.25	-0	0.75	0	00075021
r	dear	None	+0.125	-0	0.875	1	00077619
r	dearly	None	+0.125	-0	0.875	1	00077619
a	acrophobic	None	+0	-0.75	0.25	0	00078329
r	decoratively	None	+0.5	-0	0.5	0	00078330
r	doubtless	indudablemente	+0.5	-0	0.5	0	00079107
r	doubtlessly	indudablemente	+0.5	-0	0.5	0	00079107
r	undoubtedly	indudablemente	+0.5	-0	0.5	0	00079107
a	xenophobic	None	+0	-0.75	0.25	0	00081513
v	ease	dar_alivio	+0	-0.875	0.125	1	00082308
r	by_trial_and_error	None	+0.375	-0	0.625	0	00084038
r	empirically	None	+0.375	-0	0.625	0	00084038
a	pugnacious	None	+0.25	-0	0.75	1	00084353
r	intricately	intrincadamente	+0.625	-0	0.375	0	00084840
a	unaggressive	manso	+0	-0.625	0.375	0	00084956
r	permanently	None	+0.25	-0	0.75	0	00087916
a	stressful	None	+0	-0.625	0.375	0	00090408
a	argus-eyed	None	+0.375	-0	0.625	1	00091764
a	open-eyed	None	+0.375	-0	0.625	0	00091764
a	vigilant	None	+0.375	-0	0.625	0	00091764
a	wakeful	None	+0.375	-0	0.625	0	00091764
r	severely	None	+0	-0.75	0.25	2	00091778
v	incapacitate	incapacitar	+0	-0.375	0.625	1	00091968
n	overcapitalization	None	+0	-0.125	0.875	0	00093127
r	deplorably	None	+0	-0.875	0.125	0	00093270
n	deliverance	liberación	+0.125	-0	0.875	0	00093483
a	conveyable	None	+0.125	-0	0.875	0	00093556
a	negotiable	None	+0.125	-0	0.875	2	00093556
r	cortically	corticalmente	+0.5	-0	0.5	0	00093618
a	at_peace	None	+0	-0.5	0.5	0	00095873
n	extemporisation	None	+0	-0.375	0.625	0	00099588
n	improvisation	None	+0	-0.375	0.625	2	00099588
v	tone_up	hacer_ejercicio	+0.25	-0	0.75	0	00101277
a	multi-valued	None	+0.375	-0	0.625	0	00103302
a	multivalent	None	+0.375	-0	0.625	2	00103302
a	pushy	None	+0.625	-0	0.375	0	00104318
a	katabolic	None	+0	-0.75	0.25	1	00107984
r	meekly	None	+0.375	-0	0.625	1	00110286
a	analytical	None	+0.125	-0	0.875	1	00110853
v	brutalise	None	+0	-0.75	0.25	2	00113853
v	brutalize	None	+0	-0.75	0.25	2	00113853
v	brutalize	None	+0	-0.75	0.25	1	00114052
a	indignant	None	+0	-0.75	0.25	0	00115494
n	tug	None	+0	-0.125	0.875	0	00115500
r	symbiotically	None	+0.25	-0	0.75	0	00116180
n	babinski	None	+0.125	-0	0.875	0	00117267
n	blush	None	+0	-0.625	0.375	1	00118268
n	flush	None	+0	-0.625	0.375	6	00118268
a	alive	None	+0.375	-0	0.625	2	00118567
a	animated	None	+0.375	-0	0.625	0	00118567
a	enlivened	animado	+0.5	-0	0.5	0	00119875
a	pre-existing	None	+0	-0.375	0.625	0	00122386
a	preexistent	None	+0	-0.375	0.625	0	00122386
r	professorially	None	+0.25	-0	0.75	0	00125238
r	like_royalty	None	+0.125	-0	0.875	0	00125985
r	typically	None	+0.125	-0	0.875	0	00128168
n	pop_fly	None	+0	-0.25	0.75	0	00128976
r	chemically	None	+0.25	-0	0.75	0	00129228
r	hellishly	None	+0	-0.25	0.75	0	00132532
r	infernally	None	+0	-0.25	0.75	0	00132532
r	meteorologically	metereológicamente	+0.125	-0	0.875	0	00134294
n	ko_punch	None	+0	-0.625	0.375	0	00135637
n	sunday_punch	None	+0	-0.625	0.375	0	00135637
a	wrong	None	+0	-0.875	0.125	2	00136185
v	leave_behind	None	+0	-0.125	0.875	2	00136991
v	touch_on	None	+0.125	-0	0.875	3	00137313
v	turn_the_tide	None	+0.25	-0	0.75	0	00139160
v	alcoholize	None	+0	-0.25	0.75	1	00139908
r	inalienably	None	+0.25	-0	0.75	0	00139930
r	by_artificial_means	None	+0	-0.625	0.375	0	00140566
n	medical	None	+0.125	-0	0.875	0	00142361
n	medical_checkup	None	+0.125	-0	0.875	0	00142361
a	bristly	None	+0	-0.375	0.625	1	00145083
a	burry	None	+0	-0.375	0.625	0	00145083
a	prickly	None	+0	-0.375	0.625	1	00145083
a	setaceous	None	+0	-0.375	0.625	0	00145083
v	scollop	None	+0.125	-0	0.875	2	00145299
a	taloned	None	+0	-0.25	0.75	0	00145883
r	hesitatingly	None	+0.25	-0	0.75	0	00146120
a	armoured	None	+0	-0.125	0.875	0	00146883
r	easily	fácilmente	+0.25	-0	0.75	0	00147876
v	fall_away	None	+0	-0.375	0.625	1	00148472
r	really	None	+0.375	-0	0.625	1	00149510
a	speech-endowed	None	+0.5	-0	0.5	0	00150835
r	so_to_speak	es_decir	+0.125	-0	0.875	1	00152882
a	articulate	None	+0	-0.625	0.375	1	00153410
a	articulated	None	+0	-0.625	0.375	0	00153410
r	mindfully	None	+0.375	-0	0.625	0	00153681
r	unmindfully	None	+0.125	-0	0.875	0	00153865
a	disgraced	None	+0	-0.5	0.5	0	00154163
r	illegally	None	+0.25	-0	0.75	0	00154536
r	illicitly	None	+0.25	-0	0.75	1	00154536
r	lawlessly	None	+0.25	-0	0.75	0	00154536
a	associative	None	+0	-0.625	0.375	0	00157389
r	every_now_and_then	de_vez_en_cuando	+0	-0.25	0.75	0	00157412
r	every_so_often	ocasionalmente	+0	-0.25	0.75	0	00157412
n	impingement	None	+0.125	-0	0.875	0	00157957
a	unpromised	None	+0	-0.625	0.375	0	00158546
a	loose	despegado	+0	-0.25	0.75	6	00159381
a	clastic	None	+0.625	-0	0.375	1	00162248
r	topsy-turvy	desordenado	+0	-0.125	0.875	1	00163704
r	heart_and_soul	en_lo_más_íntimo_y_profundo	+0.125	-0	0.875	0	00164353
r	in_full_swing	None	+0.125	-0	0.875	0	00165445
a	forgetful	None	+0.375	-0	0.625	2	00165943
v	foolproof	None	+0	-0.25	0.75	0	00166593
v	goof-proof	None	+0	-0.25	0.75	0	00166593
v	goofproof	None	+0	-0.25	0.75	0	00166593
r	in_the_end	None	+0.25	-0	0.75	0	00167447
r	in_the_long_run	None	+0.25	-0	0.75	0	00167447
r	confidentially	None	+0.125	-0	0.875	0	00169312
r	contrariwise	None	+0	-0.375	0.625	2	00170412
r	on_the_contrary	None	+0	-0.375	0.625	0	00170412
n	fast_one	None	+0	-0.125	0.875	0	00171618
v	optimise	None	+0.125	-0	0.875	0	00172505
r	blindly	None	+0	-0.375	0.625	0	00173992
r	falteringly	None	+0	-0.125	0.875	0	00174232
r	wild	None	+0.125	-0	0.875	1	00174870
r	wildly	None	+0.25	-0	0.75	1	00175135
r	doltishly	None	+0.25	-0	0.75	0	00175344
r	stupidly	None	+0.25	-0	0.75	0	00175344
r	asymmetrically	None	+0.125	-0	0.875	0	00175778
r	unsymmetrically	None	+0.125	-0	0.875	0	00175778
a	fortunate	None	+0.75	-0	0.25	2	00176676
a	rosy	None	+0.75	-0	0.25	3	00176676
a	propitious	None	+0.5	-0	0.5	0	00177186
a	lucky	None	+0.75	-0	0.25	2	00177547
v	tear_away	None	+0	-0.375	0.625	0	00178898
v	tear_off	None	+0	-0.375	0.625	0	00178898
n	last_resort	None	+0	-0.25	0.75	0	00178972
n	pis_aller	None	+0	-0.25	0.75	0	00178972
n	embrace	None	+0.375	-0	0.625	2	00180770
r	vigorously	None	+0.375	-0	0.625	0	00181748
a	semiautomatic	None	+0.375	-0	0.625	1	00181904
a	obtainable	None	+0.625	-0	0.375	0	00184363
a	procurable	None	+0.625	-0	0.375	0	00184363
v	feed	introducir	+0	-0.5	0.5	3	00189511
v	feed_in	alimentar	+0	-0.5	0.5	0	00189511
n	rbi	None	+0.125	-0	0.875	0	00190180
a	alert	None	+0.625	-0	0.375	2	00190653
a	incognizant	desprevenido	+0	-0.25	0.75	0	00191603
r	reflexly	None	+0.125	-0	0.875	0	00191776
v	deaden	None	+0.125	-0	0.875	5	00192051
r	sympathetically	None	+0.375	-0	0.625	1	00192153
r	mercifully	None	+0.25	-0	0.75	0	00192866
r	off	None	+0	-0.5	0.5	1	00193194
a	atrocious	None	+0	-0.625	0.375	2	00193480
a	scary	None	+0	-0.75	0.25	0	00194924
a	unnerving	None	+0.625	-0	0.375	0	00195383
r	ideally	None	+0.375	-0	0.625	0	00195428
r	right	None	+0.25	-0	0.75	4	00196203
r	the_right_way	None	+0.25	-0	0.75	0	00196203
r	generously	None	+0.375	-0	0.625	0	00196692
r	obstinately	None	+0	-0.125	0.875	0	00198845
r	thirstily	None	+0.25	-0	0.75	1	00200777
r	clearly	None	+0.125	-0	0.875	1	00202341
r	ununderstandably	None	+0.125	-0	0.875	0	00202554
a	retral	None	+0	-0.5	0.5	0	00202875
a	retrograde	None	+0	-0.5	0.5	3	00202875
r	aristocratically	None	+0.125	-0	0.875	0	00202955
a	headfirst	None	+0.125	-0	0.875	0	00203614
r	correctly	None	+0.25	-0	0.75	0	00203922
r	right	None	+0.25	-0	0.75	9	00203922
r	wrong	None	+0.25	-0	0.75	0	00204125
r	wrongly	None	+0.25	-0	0.75	1	00204125
r	inaccessibly	None	+0.125	-0	0.875	0	00204390
a	impertinent	None	+0	-0.125	0.875	2	00205295
a	impudent	None	+0	-0.125	0.875	1	00205295
a	overbold	None	+0	-0.125	0.875	0	00205295
a	smart	None	+0	-0.125	0.875	3	00205295
r	rightly	correctamente	+0.125	-0	0.875	0	00205375
v	amend	arreglar	+0.375	-0	0.625	1	00205885
v	meliorate	ameliorar	+0.375	-0	0.625	0	00205885
r	darkly	None	+0.125	-0	0.875	1	00206271
r	hastily	None	+0.125	-0	0.875	0	00206479
r	hurriedly	None	+0.125	-0	0.875	0	00206479
r	to_one_ear	None	+0.25	-0	0.75	0	00208111
n	relegation	None	+0	-0.625	0.375	1	00208521
v	go_to_pot	None	+0	-0.625	0.375	0	00208691
a	ferny	None	+0.25	-0	0.75	1	00209390
a	haired	None	+0	-0.25	0.75	0	00212173
a	hairy	None	+0	-0.25	0.75	0	00212173
a	hirsute	None	+0	-0.25	0.75	0	00212173
r	unshakably	None	+0.125	-0	0.875	0	00212208
r	accidentally	None	+0.125	-0	0.875	1	00212411
r	surprisingly	None	+0.125	-0	0.875	1	00213301
a	puberulent	None	+0	-0.375	0.625	0	00213610
a	fuzzed	None	+0.125	-0	0.875	0	00214165
r	boringly	None	+0.25	-0	0.75	0	00215048
r	reasonably	None	+0.375	-0	0.625	1	00215811
r	sanely	None	+0.375	-0	0.625	0	00215811
r	sensibly	None	+0.375	-0	0.625	0	00215811
r	praiseworthily	None	+0.5	-0	0.5	0	00218886
r	pleasantly	None	+0.375	-0	0.625	1	00219110
r	heartily	None	+0.5	-0	0.5	1	00219855
r	warmly	None	+0.5	-0	0.5	0	00219855
r	ritually	None	+0.125	-0	0.875	0	00220669
n	bloodshed	None	+0	-0.125	0.875	0	00221178
n	gore	None	+0	-0.125	0.875	3	00221178
r	broadly	None	+0	-0.375	0.625	0	00221583
r	dependably	None	+0.25	-0	0.75	0	00223395
r	faithfully	None	+0.25	-0	0.75	0	00223395
r	reliably	None	+0.25	-0	0.75	0	00223395
a	malevolent	None	+0	-0.875	0.125	0	00225564
v	cripple	tullir	+0.25	-0	0.75	0	00225832
a	poisonous	None	+0	-0.75	0.25	2	00226105
a	venomous	None	+0	-0.75	0.25	1	00226105
a	vicious	None	+0	-0.75	0.25	3	00226105
r	properly_speaking	None	+0.375	-0	0.625	0	00227023
r	tenuously	None	+0.25	-0	0.75	0	00227681
r	anachronistically	None	+0.25	-0	0.75	0	00228112
n	viatical_settlement	acuerdo_viático	+0	-0.25	0.75	1	00228762
r	lovingly	cariñosamente	+0.125	-0	0.875	0	00229074
r	quietly	None	+0	-0.125	0.875	2	00229568
n	extinguishing	None	+0	-0.125	0.875	0	00229934
r	efficiently	None	+0.25	-0	0.75	0	00235843
a	sad-faced	None	+0.5	-0	0.5	0	00236086
r	sternly	None	+0	-0.125	0.875	0	00241093
v	die_back	None	+0.25	-0	0.75	0	00242026
r	compulsively	None	+0.25	-0	0.75	0	00243608
r	subconsciously	inconscientemente	+0.125	-0	0.875	0	00245716
r	decently	None	+0.25	-0	0.75	0	00247194
a	unsullied	None	+0.625	-0	0.375	1	00247247
a	untainted	None	+0.625	-0	0.375	0	00247247
v	get_along	None	+0.5	-0	0.5	2	00248659
a	overreaching	None	+0.5	-0	0.5	0	00251529
v	intumesce	inflamarse	+0	-0.25	0.75	1	00256507
v	touch_on	None	+0	-0.125	0.875	2	00260648
r	agonizingly	None	+0	-0.125	0.875	0	00261389
r	torturously	None	+0	-0.125	0.875	0	00261389
n	reform	None	+0.625	-0	0.375	1	00261405
n	beauty_treatment	tratamiento_de_belleza	+0.5	-0	0.5	0	00261797
a	stalwart	None	+0.25	-0	0.75	2	00264262
r	abjectly	None	+0.375	-0	0.625	0	00264339
a	parturient	None	+0.25	-0	0.75	1	00003829
v	insufflate	None	+0	-0.25	0.75	1	00007193
a	nonabsorbent	None	+0	-0.5	0.5	0	00007813
a	absorbable	None	+0.5	-0	0.5	0	00008734
a	adsorbable	None	+0.25	-0	0.75	0	00008877
v	jerk	None	+0	-0.125	0.875	2	00009631
v	twitch	None	+0	-0.125	0.875	0	00009631
r	please	None	+0.125	-0	0.875	0	00009966
r	isotropically	None	+0.5	-0	0.5	0	00012047
r	well	None	+0.75	-0	0.25	9	00014616
v	kip	None	+0	-0.125	0.875	0	00014742
v	log_z's	None	+0	-0.125	0.875	0	00014742
v	sleep	None	+0	-0.125	0.875	0	00014742
n	flora	None	+0	-0.25	0.75	1	00017222
n	plant	None	+0	-0.25	0.75	1	00017222
n	natural_object	None	+0.125	-0	0.875	0	00019128
a	approachable	None	+0.375	-0	0.625	2	00019349
a	dead_on_target	None	+0.125	-0	0.875	0	00023120
a	true	None	+0.125	-0	0.875	1	00023120
a	acid-forming	None	+0	-0.5	0.5	0	00025633
v	sit_back	None	+0	-0.125	0.875	0	00026941
a	declarable	None	+0.375	-0	0.625	0	00028181
r	so_far	None	+0.25	-0	0.75	2	00028198
a	unacknowledged	desconocido	+0	-0.625	0.375	0	00028672
a	unappreciated	None	+0	-0.375	0.625	1	00028867
a	secret	None	+0.25	-0	0.75	2	00028984
a	unavowed	None	+0.25	-0	0.75	2	00028984
v	cackle	None	+0	-0.5	0.5	1	00031418
r	no_longer	None	+0	-0.25	0.75	0	00031515
r	no_more	None	+0	-0.25	0.75	0	00031515
r	fabulously	None	+0.25	-0	0.75	0	00032180
r	fantastically	None	+0.25	-0	0.75	0	00032180
r	incredibly	None	+0.25	-0	0.75	1	00032180
r	sportively	None	+0.625	-0	0.375	0	00034862
r	by_chance	None	+0.125	-0	0.875	2	00040547
v	prim	None	+0.25	-0	0.75	2	00045145
a	addable	None	+0.5	-0	0.5	0	00048706
a	addible	None	+0.5	-0	0.5	0	00048706
r	fleetly	None	+0.25	-0	0.75	0	00053274
r	swiftly	None	+0.25	-0	0.75	0	00053274
a	cohesive	None	+0	-0.5	0.5	0	00053564
a	nonviscid	None	+0	-0.625	0.375	0	00055041
a	non-resinous	None	+0	-0.5	0.5	0	00055142
a	non-resiny	None	+0	-0.5	0.5	0	00055142
a	nonresinous	None	+0	-0.5	0.5	0	00055142
a	nonresiny	None	+0	-0.5	0.5	0	00055142
a	buttony	None	+0	-0.125	0.875	1	00057390
a	tasseled	None	+0	-0.125	0.875	0	00060053
v	alleviate	None	+0.25	-0	0.75	0	00064095
v	assuage	None	+0.25	-0	0.75	2	00064095
v	relieve	None	+0.25	-0	0.75	0	00064095
a	nonmechanical	None	+0	-0.25	0.75	1	00064365
a	unmechanical	None	+0	-0.25	0.75	0	00064365
v	hurt	None	+0	-0.5	0.5	1	00064643
r	duly	None	+0.625	-0	0.375	0	00064691
r	punctually	None	+0.625	-0	0.375	0	00064691
r	lastingly	None	+0.5	-0	0.5	0	00066100
v	bawl	berrear	+0	-0.25	0.75	1	00066862
v	snuffle	resollar	+0	-0.375	0.625	2	00067274
v	injure	None	+0	-0.5	0.5	0	00069879
v	wound	None	+0	-0.5	0.5	0	00069879
v	calk	cocear	+0	-0.125	0.875	1	00070736
r	fugally	None	+0	-0.25	0.75	0	00029278
a	underactive	None	+0	-0.625	0.375	0	00034232
r	barely	apenas	+0	-0.375	0.625	1	00073763
r	scantily	escasamente	+0	-0.375	0.625	0	00073763
n	lapse	None	+0	-0.5	0.5	0	00074524
n	oversight	None	+0	-0.5	0.5	2	00074524
n	skip	None	+0	-0.375	0.625	1	00074624
n	balls-up	None	+0	-0.5	0.5	0	00075618
n	ballup	None	+0	-0.5	0.5	0	00075618
n	cockup	None	+0	-0.5	0.5	0	00075618
n	mess-up	None	+0	-0.5	0.5	0	00075618
a	dissenting	None	+0	-0.625	0.375	0	00075737
n	fumble	None	+0	-0.125	0.875	0	00075912
a	afeared	None	+0	-0.125	0.875	0	00078463
a	aghast	None	+0.25	-0	0.75	0	00078576
a	appalled	None	+0.25	-0	0.75	0	00078576
a	dismayed	None	+0.25	-0	0.75	0	00078576
a	shocked	None	+0.25	-0	0.75	0	00078576
v	ail	None	+0	-0.875	0.125	0	00078665
a	terror-stricken	None	+0	-0.5	0.5	0	00080981
a	terror-struck	None	+0	-0.5	0.5	0	00080981
r	digitately	None	+0.5	-0	0.5	0	00082765
r	through_empirical_observation	None	+0.375	-0	0.625	0	00084038
v	medicate	None	+0.125	-0	0.875	1	00084230
v	medicine	None	+0.125	-0	0.875	0	00084230
r	magnetically	magnéticamente	+0	-0.125	0.875	1	00089883
v	traumatise	traumatizar	+0	-0.5	0.5	0	00090186
v	traumatize	traumatizar	+0	-0.5	0.5	0	00090186
v	hock	cortar_el_corvejón	+0	-0.25	0.75	1	00092204
a	heads-up	None	+0.5	-0	0.5	0	00092275
a	wide-awake	None	+0.5	-0	0.5	1	00092275
a	stone-dead	None	+0	-0.375	0.625	0	00098450
v	skin_over	None	+0	-0.375	0.625	0	00099089
n	illusion	None	+0.125	-0	0.875	3	00099951
a	stigmatic	estigmático	+0	-0.25	0.75	2	00108595
n	jog	empujón	+0	-0.125	0.875	2	00112997
n	nudge	codazo	+0	-0.125	0.875	0	00112997
n	jerk	None	+0	-0.125	0.875	5	00115500
n	smack	beso_sonoro	+0.5	-0	0.5	4	00138599
n	smooch	besuqueo	+0.5	-0	0.5	0	00138599
r	undramatically	None	+0.25	-0	0.75	0	00139071
a	noncolumned	None	+0	-0.5	0.5	0	00141522
a	uncolumned	None	+0	-0.5	0.5	0	00141522
a	armed	None	+0	-0.125	0.875	1	00144877
r	surprisingly	None	+0.125	-0	0.875	0	00145228
v	scallop	None	+0.125	-0	0.875	4	00145299
n	diagnosis	None	+0.25	-0	0.75	0	00152727
r	advertently	None	+0.375	-0	0.625	0	00153681
r	heedfully	None	+0.375	-0	0.625	0	00153681
a	unjointed	None	+0	-0.5	0.5	0	00153789
a	advertent	None	+0.5	-0	0.5	0	00164308
a	heedful	None	+0.5	-0	0.5	2	00164308
r	just_so	None	+0.375	-0	0.625	0	00168230
a	catchy	None	+0.25	-0	0.75	1	00170717
r	just_right	None	+0.25	-0	0.75	0	00172020
r	to_a_t	None	+0.25	-0	0.75	0	00172020
r	to_perfection	None	+0.25	-0	0.75	0	00172020
r	to_the_letter	None	+0.25	-0	0.75	0	00172020
a	nonpregnant	no_embarazada	+0	-0.125	0.875	0	00173694
a	audible	audible	+0.375	-0	0.625	0	00173764
a	supersonic	None	+0.375	-0	0.625	1	00175300
a	unpropitious	impropicio	+0	-0.625	0.375	0	00177963
v	clear_up	None	+0.125	-0	0.875	2	00178235
a	authorised	autorizado	+0	-0.375	0.625	0	00178575
a	authorized	autorizado	+0	-0.375	0.625	0	00178575
v	put_on	None	+0	-0.125	0.875	1	00184511
v	iodise	None	+0	-0.25	0.75	0	00184907
v	deactivate	None	+0	-0.125	0.875	1	00191517
v	inactivate	None	+0	-0.125	0.875	1	00191517
r	strikingly	None	+0.125	-0	0.875	0	00193886
r	gracefully	None	+0.375	-0	0.625	1	00194156
r	graciously	None	+0.375	-0	0.625	0	00194156
r	bolt	None	+0.125	-0	0.875	0	00194578
r	rigidly	None	+0.125	-0	0.875	0	00194578
r	stiffly	None	+0.125	-0	0.875	1	00194578
r	tantalizingly	None	+0.25	-0	0.75	0	00195907
a	terrific	None	+0	-0.625	0.375	2	00196449
a	terrifying	None	+0	-0.625	0.375	0	00196449
v	decline	None	+0	-0.25	0.75	0	00203866
v	worsen	None	+0	-0.25	0.75	0	00203866
v	drop_away	empeorar	+0	-0.5	0.5	0	00204391
v	fall_away	bajar	+0	-0.5	0.5	0	00204391
v	brisk	None	+0.25	-0	0.75	0	00205766
v	brisken	None	+0.25	-0	0.75	0	00205766
v	decoct	None	+0	-0.375	0.625	1	00213712
r	fruitlessly	None	+0.125	-0	0.875	0	00214084
a	velvety-haired	None	+0.125	-0	0.875	0	00216308
r	agreeably	None	+0.375	-0	0.625	0	00219110
r	enjoyably	None	+0.375	-0	0.625	0	00219110
r	cheerily	None	+0.375	-0	0.625	0	00219325
r	pleasantly	None	+0.375	-0	0.625	0	00219325
n	lynching	None	+0	-0.125	0.875	0	00224599
r	firmly	None	+0.125	-0	0.875	1	00224700
r	securely	None	+0.125	-0	0.875	0	00224700
r	favorably	None	+0.5	-0	0.5	0	00230444
a	fitter	None	+0.5	-0	0.5	0	00231963
a	healthier	None	+0.5	-0	0.5	0	00231963
v	lessen	None	+0	-0.25	0.75	2	00232956
v	subside	None	+0	-0.25	0.75	0	00232956
a	baby-faced	None	+0.125	-0	0.875	0	00235239
a	two-lobed	None	+0.375	-0	0.625	0	00237965
r	dourly	None	+0.125	-0	0.875	0	00242321
r	perversely	None	+0	-0.375	0.625	1	00247969
v	fossilise	None	+0.375	-0	0.625	1	00249556
v	fossilize	None	+0.375	-0	0.625	1	00249556
n	elaboration	None	+0.5	-0	0.5	4	00250710
a	unfastened	None	+0	-0.125	0.875	3	00254983
a	untied	None	+0	-0.125	0.875	0	00254983
n	titivation	None	+0	-0.125	0.875	0	00263492
a	chickenhearted	None	+0	-0.5	0.5	0	00265314
a	lily-livered	None	+0	-0.5	0.5	0	00265314
a	yellow	None	+0	-0.5	0.5	1	00265314
a	yellow-bellied	None	+0	-0.5	0.5	0	00265314
a	funky	None	+0	-0.25	0.75	3	00266228
a	poltroon	None	+0.625	-0	0.375	0	00266309
v	paralyse	None	+0	-0.25	0.75	1	00268477
v	paralyze	None	+0	-0.25	0.75	1	00268477
r	unappreciatively	None	+0.25	-0	0.75	0	00271470
r	ungratefully	None	+0.25	-0	0.75	0	00271470
a	gloomful	None	+0	-0.125	0.875	0	00275764
a	glooming	None	+0	-0.125	0.875	0	00275764
r	bawdily	None	+0.25	-0	0.75	0	00278188
r	bounteously	None	+0.25	-0	0.75	0	00279867
r	bountifully	None	+0.25	-0	0.75	0	00279867
r	plenteously	None	+0.25	-0	0.75	0	00279867
r	energetically	None	+0.625	-0	0.375	0	00090651
a	late	None	+0.125	-0	0.875	3	00097674
r	injuriously	None	+0	-0.25	0.75	0	00124449
a	dishonored	None	+0	-0.5	0.5	0	00154163
a	shamed	None	+0	-0.5	0.5	1	00154163
